iter	Passed	Remaining
0	0	85
1	1	78
2	2	73
3	2	67
4	3	66
5	4	65
6	4	65
7	5	64
8	6	63
9	6	62
10	7	61
11	8	61
12	8	60
13	9	59
14	10	59
15	10	57
16	11	57
17	12	56
18	13	55
19	13	55
20	14	54
21	15	53
22	15	53
23	16	52
24	17	51
25	17	51
26	18	50
27	19	49
28	19	48
29	20	48
30	21	47
31	21	46
32	22	46
33	23	45
34	24	44
35	24	43
36	25	43
37	26	42
38	26	41
39	27	41
40	28	40
41	28	40
42	29	39
43	30	38
44	31	38
45	32	37
46	32	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	67	2
97	68	1
98	69	0
99	70	0
